============================================================
v2_20k 評估與校正 Pipeline - 步驟一: 重度運算與校正推論
============================================================

>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
執行校正模式: BASELINE
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>

----------------------------------------
處理目標任務: Y1
----------------------------------------
      [BASELINE | TEST2 | Layer 4 | Y1 | MLP] Brier=0.1635 | Rel=0.0012 | Res=0.0151 | Unc=0.1774 | ECE=0.0140 | LogLoss=0.5721
      [BASELINE | TEST1 | Layer 4 | Y1 | LGB] Brier=0.1603 | Rel=0.0000 | Res=0.0168 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4903
      [BASELINE | TEST2 | Layer 4 | Y1 | LGB] Brier=0.1636 | Rel=0.0012 | Res=0.0150 | Unc=0.1774 | ECE=0.0199 | LogLoss=0.5289
      [BASELINE | TEST1 | Layer 4 | Y1 | LR] Brier=0.1605 | Rel=0.0000 | Res=0.0166 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4867
      [BASELINE | TEST2 | Layer 4 | Y1 | LR] Brier=0.1652 | Rel=0.0003 | Res=0.0125 | Unc=0.1774 | ECE=0.0133 | LogLoss=0.5159
      [BASELINE | TEST1 | Layer 4 | Y1 | RF] Brier=0.1640 | Rel=0.0000 | Res=0.0131 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.5015
      [BASELINE | TEST2 | Layer 4 | Y1 | RF] Brier=0.1651 | Rel=0.0012 | Res=0.0135 | Unc=0.1774 | ECE=0.0248 | LogLoss=0.5022
      [BASELINE | TEST1 | Layer 5 | Y1 | SGD] Brier=0.1607 | Rel=0.0000 | Res=0.0164 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4862
      [BASELINE | TEST2 | Layer 5 | Y1 | SGD] Brier=0.1635 | Rel=0.0008 | Res=0.0147 | Unc=0.1774 | ECE=0.0206 | LogLoss=0.5122
      [BASELINE | TEST1 | Layer 5 | Y1 | MLP] Brier=0.1621 | Rel=0.0000 | Res=0.0150 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4857
      [BASELINE | TEST2 | Layer 5 | Y1 | MLP] Brier=0.1630 | Rel=0.0003 | Res=0.0146 | Unc=0.1774 | ECE=0.0125 | LogLoss=0.5231
      [BASELINE | TEST1 | Layer 5 | Y1 | LGB] Brier=0.1618 | Rel=0.0000 | Res=0.0153 | Unc=0.1771 | ECE=0.0000 | LogLoss=0.4905
